11,11950.538,2.30E-25,5.91E-09,0.0479,0.275,744.163,0.3,0,28,1,919,818,65
11,11952.583,2.20E-26,2.78E-10,0.0778,0.4291,508.812,0.68,0,30,1,515,532,62
11,11953.387,2.30E-26,4.55E-08,0.0758,0.3283,1411.647,0.68,0,30,1,761,862,62
11,11953.417,7.00E-26,4.61E-08,0.0758,0.3283,1411.612,0.68,0,30,1,762,863,62
11,11955.1471,3.46E-24,1.12E-07,0.0644,0.458,782.41,0.68,0,30,1,624,725,462
11,11955.5871,2.42E-24,1.05E-07,0.0644,0.405,842.357,0.68,0,30,1,633,734,462
11,11955.641,3.80E-27,1.59E-10,0.0844,0.4389,488.134,0.68,0,30,1,423,440,62
11,11957.437,1.00E-26,7.38E-10,0.081,0.4415,709.609,0.68,0,29,1,615,726,60
11,11958.9812,1.52E-25,9.39E-10,0.0919,0.4661,285.419,0.68,0,30,1,211,330,442
11,11959.106,7.28E-25,3.76E-09,0.0844,0.4389,300.362,0.68,0,28,1,524,423,452
11,11959.323,2.60E-26,6.57E-10,0.0849,0.4533,383.843,0.59,0,29,1,322,431,60
11,11959.405,1.00E-26,1.81E-10,0.0978,0.444,315.779,0.74,0,29,1,313,422,62
11,11962.1095,1.74E-24,1.23E-07,0.0758,0.3283,744.064,0.68,0,30,1,707,808,462
11,11962.58,2.50E-26,3.38E-10,0.0731,0.3841,586.243,0.68,0,28,1,726,707,65
11,11962.69205,5.10E-24,1.20E-07,0.0758,0.3283,744.163,0.68,0,30,1,717,818,542
11,11964.45,4.40E-27,5.35E-09,0.0617,0.2818,1581.336,0.68,0,30,1,1028,1047,62
11,11965.996,1.21E-24,8.24E-09,0.0892,0.437,399.457,0.59,0,28,1,615,514,435
11,11966.002,9.60E-25,6.93E-08,0.0644,0.3841,931.237,0.68,0,30,1,642,743,62
11,11966.349,8.50E-26,7.10E-10,0.0878,0.4654,382.517,0.62,0,29,1,321,432,60
11,11966.381,2.15E-25,3.59E-09,0.0844,0.4389,315.779,0.68,0,30,1,303,422,452
